feature,feature_idx,m_i,s_used,context,prompt,condition,c,sample,baseline_p,a_i_max,active,passed_floor,p_concept,gen_success_frac,gen_success_any,perplexity
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=1.0),1.0,7,0.5280292630195618,70.4028549194336,True,True,0.13985301554203033,0.03125,1,6.362581253051758
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=1.0),1.0,8,0.5280292630195618,70.4028549194336,True,True,0.13985301554203033,0.0625,1,6.3664093017578125
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=1.0),1.0,9,0.5280292630195618,70.4028549194336,True,True,0.13985301554203033,0.03125,1,3.4708707332611084
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=2.0),2.0,0,0.5280292630195618,70.4028549194336,True,True,0.10037513077259064,0.03125,1,7.068752288818359
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=2.0),2.0,1,0.5280292630195618,70.4028549194336,True,True,0.10037513077259064,0.03125,1,5.4015793800354
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=2.0),2.0,2,0.5280292630195618,70.4028549194336,True,True,0.10037513077259064,0.03125,1,8.435689926147461
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=2.0),2.0,3,0.5280292630195618,70.4028549194336,True,True,0.10037513077259064,0.03125,1,6.938082218170166
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=2.0),2.0,4,0.5280292630195618,70.4028549194336,True,True,0.10037513077259064,0.03125,1,4.063544750213623
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=2.0),2.0,5,0.5280292630195618,70.4028549194336,True,True,0.10037513077259064,0.03125,1,8.830083847045898
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=2.0),2.0,6,0.5280292630195618,70.4028549194336,True,True,0.10037513077259064,0.03125,1,5.806541442871094
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=2.0),2.0,7,0.5280292630195618,70.4028549194336,True,True,0.10037513077259064,0.03125,1,6.227790832519531
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=2.0),2.0,8,0.5280292630195618,70.4028549194336,True,True,0.10037513077259064,0.03125,1,4.958592414855957
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=2.0),2.0,9,0.5280292630195618,70.4028549194336,True,True,0.10037513077259064,0.03125,1,6.156219959259033
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=2.0),2.0,0,0.5280292630195618,70.4028549194336,True,True,0.1370692104101181,0.03125,1,7.026982307434082
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=2.0),2.0,1,0.5280292630195618,70.4028549194336,True,True,0.1370692104101181,0.03125,1,6.849308490753174
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=2.0),2.0,2,0.5280292630195618,70.4028549194336,True,True,0.1370692104101181,0.03125,1,7.361981391906738
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=2.0),2.0,3,0.5280292630195618,70.4028549194336,True,True,0.1370692104101181,0.03125,1,6.228846073150635
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=2.0),2.0,4,0.5280292630195618,70.4028549194336,True,True,0.1370692104101181,0.03125,1,4.149714946746826
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=2.0),2.0,5,0.5280292630195618,70.4028549194336,True,True,0.1370692104101181,0.03125,1,9.876543045043945
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=2.0),2.0,6,0.5280292630195618,70.4028549194336,True,True,0.1370692104101181,0.03125,1,6.617011070251465
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=2.0),2.0,7,0.5280292630195618,70.4028549194336,True,True,0.1370692104101181,0.03125,1,5.621179580688477
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=2.0),2.0,8,0.5280292630195618,70.4028549194336,True,True,0.1370692104101181,0.0625,1,6.266057014465332
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=2.0),2.0,9,0.5280292630195618,70.4028549194336,True,True,0.1370692104101181,0.03125,1,5.1340765953063965
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=4.0),4.0,0,0.5280292630195618,70.4028549194336,True,True,0.03490490838885307,0.03125,1,10.18603515625
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=4.0),4.0,1,0.5280292630195618,70.4028549194336,True,True,0.03490490838885307,0.0,0,9.951362609863281
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=4.0),4.0,2,0.5280292630195618,70.4028549194336,True,True,0.03490490838885307,0.03125,1,8.435689926147461
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=4.0),4.0,3,0.5280292630195618,70.4028549194336,True,True,0.03490490838885307,0.03125,1,5.997417449951172
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=4.0),4.0,4,0.5280292630195618,70.4028549194336,True,True,0.03490490838885307,0.03125,1,6.7642011642456055
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=4.0),4.0,5,0.5280292630195618,70.4028549194336,True,True,0.03490490838885307,0.0,0,10.03007698059082
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=4.0),4.0,6,0.5280292630195618,70.4028549194336,True,True,0.03490490838885307,0.03125,1,5.806541442871094
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=4.0),4.0,7,0.5280292630195618,70.4028549194336,True,True,0.03490490838885307,0.0,0,8.436311721801758
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=4.0),4.0,8,0.5280292630195618,70.4028549194336,True,True,0.03490490838885307,0.0,0,19.728456497192383
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=4.0),4.0,9,0.5280292630195618,70.4028549194336,True,True,0.03490490838885307,0.0,0,5.757591724395752
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=4.0),4.0,0,0.5280292630195618,70.4028549194336,True,True,0.1298382580280304,0.03125,1,6.69052267074585
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=4.0),4.0,1,0.5280292630195618,70.4028549194336,True,True,0.1298382580280304,0.03125,1,5.419787406921387
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=4.0),4.0,2,0.5280292630195618,70.4028549194336,True,True,0.1298382580280304,0.03125,1,16.800701141357422
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=4.0),4.0,3,0.5280292630195618,70.4028549194336,True,True,0.1298382580280304,0.03125,1,6.276738166809082
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=4.0),4.0,4,0.5280292630195618,70.4028549194336,True,True,0.1298382580280304,0.03125,1,7.017096042633057
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=4.0),4.0,5,0.5280292630195618,70.4028549194336,True,True,0.1298382580280304,0.0625,1,6.983211040496826
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=4.0),4.0,6,0.5280292630195618,70.4028549194336,True,True,0.1298382580280304,0.03125,1,6.617011070251465
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=4.0),4.0,7,0.5280292630195618,70.4028549194336,True,True,0.1298382580280304,0.03125,1,7.678311824798584
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=4.0),4.0,8,0.5280292630195618,70.4028549194336,True,True,0.1298382580280304,0.0625,1,5.829496383666992
